Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org
[RNG] Battle seed set: 1403
[Scenario 03] Battle seed: 1403
[RNG] Battle seed set: 1404
[Scenario 03] Battle seed: 1404
[RNG] Battle seed set: 1405
[Scenario 03] Battle seed: 1405
[RNG] Battle seed set: 1406
[Scenario 03] Battle seed: 1406
[RNG] Battle seed set: 1407
[Scenario 03] Battle seed: 1407
[RNG] Battle seed set: 1408
[Scenario 03] Battle seed: 1408
[RNG] Battle seed set: 1409
[Scenario 03] Battle seed: 1409
[RNG] Battle seed set: 1410
[Scenario 03] Battle seed: 1410
[RNG] Battle seed set: 1411
[Scenario 03] Battle seed: 1411
[RNG] Battle seed set: 1412
[Scenario 03] Battle seed: 1412
[RNG] Battle seed set: 1413
[Scenario 03] Battle seed: 1413
[RNG] Battle seed set: 1414
[Scenario 03] Battle seed: 1414
[RNG] Battle seed set: 1415
[Scenario 03] Battle seed: 1415
[RNG] Battle seed set: 1416
[Scenario 03] Battle seed: 1416
[RNG] Battle seed set: 1417
[Scenario 03] Battle seed: 1417
[RNG] Battle seed set: 1418
[Scenario 03] Battle seed: 1418
[RNG] Battle seed set: 1419
[Scenario 03] Battle seed: 1419
[RNG] Battle seed set: 1420
[Scenario 03] Battle seed: 1420
[RNG] Battle seed set: 1421
[Scenario 03] Battle seed: 1421
[RNG] Battle seed set: 1422
[Scenario 03] Battle seed: 1422
[RNG] Battle seed set: 1423
[Scenario 03] Battle seed: 1423
[RNG] Battle seed set: 1424
[Scenario 03] Battle seed: 1424
S3_PROG worker=w3 i=50/125 seed=1424 ratio=0.3140 rout=77.57 left=65.50 flank=true
[RNG] Battle seed set: 1425
[Scenario 03] Battle seed: 1425
[RNG] Battle seed set: 1426
[Scenario 03] Battle seed: 1426
[RNG] Battle seed set: 1427
[Scenario 03] Battle seed: 1427
[RNG] Battle seed set: 1428
[Scenario 03] Battle seed: 1428
[RNG] Battle seed set: 1429
[Scenario 03] Battle seed: 1429
[RNG] Battle seed set: 1430
[Scenario 03] Battle seed: 1430
[RNG] Battle seed set: 1431
[Scenario 03] Battle seed: 1431
[RNG] Battle seed set: 1432
[Scenario 03] Battle seed: 1432
[RNG] Battle seed set: 1433
[Scenario 03] Battle seed: 1433
[RNG] Battle seed set: 1434
[Scenario 03] Battle seed: 1434
[RNG] Battle seed set: 1435
[Scenario 03] Battle seed: 1435
[RNG] Battle seed set: 1436
[Scenario 03] Battle seed: 1436
[RNG] Battle seed set: 1437
[Scenario 03] Battle seed: 1437
[RNG] Battle seed set: 1438
[Scenario 03] Battle seed: 1438
[RNG] Battle seed set: 1439
[Scenario 03] Battle seed: 1439
[RNG] Battle seed set: 1440
[Scenario 03] Battle seed: 1440
[RNG] Battle seed set: 1441
[Scenario 03] Battle seed: 1441
[RNG] Battle seed set: 1442
[Scenario 03] Battle seed: 1442
[RNG] Battle seed set: 1443
[Scenario 03] Battle seed: 1443
[RNG] Battle seed set: 1444
[Scenario 03] Battle seed: 1444
[RNG] Battle seed set: 1445
[Scenario 03] Battle seed: 1445
[RNG] Battle seed set: 1446
[Scenario 03] Battle seed: 1446
[RNG] Battle seed set: 1447
[Scenario 03] Battle seed: 1447
[RNG] Battle seed set: 1448
[Scenario 03] Battle seed: 1448
[RNG] Battle seed set: 1449
[Scenario 03] Battle seed: 1449
S3_PROG worker=w3 i=75/125 seed=1449 ratio=0.2744 rout=76.03 left=59.09 flank=true
[RNG] Battle seed set: 1450
[Scenario 03] Battle seed: 1450
[RNG] Battle seed set: 1451
[Scenario 03] Battle seed: 1451
[RNG] Battle seed set: 1452
[Scenario 03] Battle seed: 1452
[RNG] Battle seed set: 1453
[Scenario 03] Battle seed: 1453
[RNG] Battle seed set: 1454
[Scenario 03] Battle seed: 1454
[RNG] Battle seed set: 1455
[Scenario 03] Battle seed: 1455
[RNG] Battle seed set: 1456
[Scenario 03] Battle seed: 1456
[RNG] Battle seed set: 1457
[Scenario 03] Battle seed: 1457
[RNG] Battle seed set: 1458
[Scenario 03] Battle seed: 1458
[RNG] Battle seed set: 1459
[Scenario 03] Battle seed: 1459
[RNG] Battle seed set: 1460
[Scenario 03] Battle seed: 1460
[RNG] Battle seed set: 1461
[Scenario 03] Battle seed: 1461
[RNG] Battle seed set: 1462
[Scenario 03] Battle seed: 1462
[RNG] Battle seed set: 1463
[Scenario 03] Battle seed: 1463
[RNG] Battle seed set: 1464
[Scenario 03] Battle seed: 1464
[RNG] Battle seed set: 1465
[Scenario 03] Battle seed: 1465
[RNG] Battle seed set: 1466
[Scenario 03] Battle seed: 1466
[RNG] Battle seed set: 1467
[Scenario 03] Battle seed: 1467
[RNG] Battle seed set: 1468
[Scenario 03] Battle seed: 1468
[RNG] Battle seed set: 1469
[Scenario 03] Battle seed: 1469
[RNG] Battle seed set: 1470
[Scenario 03] Battle seed: 1470
[RNG] Battle seed set: 1471
[Scenario 03] Battle seed: 1471
[RNG] Battle seed set: 1472
[Scenario 03] Battle seed: 1472
[RNG] Battle seed set: 1473
[Scenario 03] Battle seed: 1473
[RNG] Battle seed set: 1474
[Scenario 03] Battle seed: 1474
S3_PROG worker=w3 i=100/125 seed=1474 ratio=0.2625 rout=75.45 left=54.16 flank=true
[RNG] Battle seed set: 1475
[Scenario 03] Battle seed: 1475
[RNG] Battle seed set: 1476
[Scenario 03] Battle seed: 1476
[RNG] Battle seed set: 1477
[Scenario 03] Battle seed: 1477
[RNG] Battle seed set: 1478
[Scenario 03] Battle seed: 1478
[RNG] Battle seed set: 1479
[Scenario 03] Battle seed: 1479
[RNG] Battle seed set: 1480
[Scenario 03] Battle seed: 1480
[RNG] Battle seed set: 1481
[Scenario 03] Battle seed: 1481
[RNG] Battle seed set: 1482
[Scenario 03] Battle seed: 1482
[RNG] Battle seed set: 1483
[Scenario 03] Battle seed: 1483
[RNG] Battle seed set: 1484
[Scenario 03] Battle seed: 1484
[RNG] Battle seed set: 1485
[Scenario 03] Battle seed: 1485
[RNG] Battle seed set: 1486
[Scenario 03] Battle seed: 1486
[RNG] Battle seed set: 1487
[Scenario 03] Battle seed: 1487
[RNG] Battle seed set: 1488
[Scenario 03] Battle seed: 1488
[RNG] Battle seed set: 1489
[Scenario 03] Battle seed: 1489
[RNG] Battle seed set: 1490
[Scenario 03] Battle seed: 1490
[RNG] Battle seed set: 1491
[Scenario 03] Battle seed: 1491
[RNG] Battle seed set: 1492
[Scenario 03] Battle seed: 1492
[RNG] Battle seed set: 1493
[Scenario 03] Battle seed: 1493
[RNG] Battle seed set: 1494
[Scenario 03] Battle seed: 1494
[RNG] Battle seed set: 1495
[Scenario 03] Battle seed: 1495
[RNG] Battle seed set: 1496
[Scenario 03] Battle seed: 1496
[RNG] Battle seed set: 1497
[Scenario 03] Battle seed: 1497
[RNG] Battle seed set: 1498
[Scenario 03] Battle seed: 1498
[RNG] Battle seed set: 1499
[Scenario 03] Battle seed: 1499
S3_PROG worker=w3 i=125/125 seed=1499 ratio=0.2982 rout=77.16 left=63.46 flank=true
WO028_S3_STATS metric=ratio n=125 mean=0.284306 sd=0.010756 min=0.262533 max=0.313984 p01=0.262533 p99=0.307388 p005=0.262533 p995=0.309894 m3=0.252037 p3=0.316575
WO028_S3_STATS metric=rout n=125 mean=76.312336 sd=0.505533 min=75.259519 max=77.566872 p01=75.326126 p99=77.363178 p005=75.292193 p995=77.442687 m3=74.795736 p3=77.828936
WO028_S3_STATS metric=left n=125 mean=59.213022 sd=3.387157 min=50.719206 max=66.070172 p01=51.330985 p99=65.439595 p005=50.891860 p995=65.718534 m3=49.051550 p3=69.374494
WO028_S3_FLANK_WINS 125/125 ms=211346
WO028_S3_CSV res://docs/reports/evidence_wo028/s3_rederive_w3.csv
WO028_S3_REDERIVE_DONE worker=w3
